16O (ground state) N_N2p 5.36549e-07
16O (ground state) N_palpha 4.76186e-07
16O (ground state) N_Npalpha 1.273e-07
27Al (ground state) N_Nt 4.92893e-10
27Al (ground state) N_2p 4.31435e-09
27Al (ground state) N_2alpha 8.13675e-10
27Al (ground state) N_palpha 3.64418e-07
27Al (ground state) N_dalpha 5.19779e-12
27Al (ground state) N_Npalpha 3.15116e-15
28Si (ground state) N_He3 2.80232e-07
29Si (ground state) N_2p 8.83865e-07
30Si (ground state) N_2p 1.68921e-15
37Cl (ground state) N_3N 1.10998e-07
40Ar (ground state) N_He3 1.4777e-09
40Ca (ground state) N_N2alpha 3.35432e-12
40Ca (ground state) N_dalpha 2.79915e-08
40Ca (ground state) N_Npalpha 4.73118e-11
42Ca (ground state) N_He3 3.03427e-07
42Ca (ground state) N_Nd 2.09173e-10
42Ca (ground state) N_N2alpha 1.57312e-11
42Ca (ground state) N_pd 1.59681e-08
42Ca (ground state) N_palpha 8.14721e-07
42Ca (ground state) N_dalpha 5.09898e-09
43Ca (ground state) N_3N 1.19505e-09
43Ca (ground state) N_He3 2.50893e-08
43Ca (ground state) N_Nd 8.27697e-07
43Ca (ground state) N_2Np 1.05487e-08
43Ca (ground state) N_2p 3.4138e-07
43Ca (ground state) N_palpha 6.98753e-08
44Ca (ground state) N_3N 8.88986e-08
44Ca (ground state) N_He3 2.53033e-09
44Ca (ground state) N_2p 9.03706e-12
44Ca (ground state) N_2alpha 9.02906e-11
46Ca (ground state) N_t 7.66904e-07
48Ca (ground state) N_t 7.00565e-08
48Ca (ground state) N_Nalpha 3.11443e-08
45Sc (ground state) N_He3 7.39568e-08
45Sc (ground state) N_Nt 2.32543e-10
45Sc (ground state) N_2Np 2.10474e-07
45Sc (ground state) N_2p 1.94372e-07
45Sc (ground state) N_2alpha 2.55568e-08
45Sc (ground state) N_palpha 2.62692e-07
45Sc (ground state) N_dalpha 4.07452e-11
46Ti (ground state) N_He3 2.72292e-07
47Ti (ground state) N_He3 2.4312e-07
48Ti (ground state) N_He3 2.87385e-08
48Ti (ground state) N_2p 1.74062e-07
49Ti (ground state) N_He3 4.54175e-09
49Ti (ground state) N_2p 2.86723e-07
50Ti (ground state) N_He3 6.39104e-10
52Cr (ground state) N_He3 4.93236e-07
54Fe (ground state) N_He3 9.5763e-07
54Fe (ground state) N_2alpha 8.55376e-10
54Fe (ground state) N_N2p 7.26268e-08
56Fe (ground state) N_He3 4.55842e-07
57Fe (ground state) N_He3 3.76948e-09
57Fe (ground state) N_Nd 5.78551e-07
57Fe (ground state) N_2Np 3.06132e-08
57Fe (ground state) N_2Nalpha 1.16543e-09
57Fe (ground state) N_2p 3.8595e-08
57Fe (ground state) N_2alpha 6.93392e-09
57Fe (ground state) N_palpha 1.5234e-08
58Fe (ground state) N_He3 8.79543e-11
58Fe (ground state) N_2alpha 1.62534e-11
59Co (ground state) N_He3 9.79385e-09
59Co (ground state) N_Nt 1.25813e-08
59Co (ground state) N_2p 6.519e-08
59Co (ground state) N_2alpha 7.4852e-10
59Co (ground state) N_palpha 9.57905e-08
58Ni (ground state) N_He3 6.49973e-07
59Ni (ground state) N_He3 2.69337e-07
59Ni (ground state) N_NHe3 2.91672e-07
60Ni (ground state) N_He3 4.82e-07
63Cu (ground state) N_He3 6.54288e-08
65Cu (ground state) N_He3 1.40798e-07
70Ge (ground state) N_He3 3.06631e-07
70Ge (ground state) N_Nd 4.61937e-10
70Ge (ground state) N_2Nalpha 9.11419e-10
70Ge (ground state) N_2alpha 1.04084e-07
70Ge (ground state) N_N2p 4.7362e-09
70Ge (ground state) N_N2alpha 4.10164e-11
70Ge (ground state) N_pd 6.65971e-08
70Ge (ground state) N_dalpha 7.96642e-10
70Ge (ground state) N_Npalpha 2.49376e-11
72Ge (ground state) N_He3 1.82302e-08
72Ge (ground state) N_Nd 8.98397e-10
